epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.709,1.06481,5.00354,1.27807,0,0,0,0,0.89096,4.36378,0.93866,0.097015,1.5e-05,1.5e-05
2,358.812,0.68751,4.25207,1.02813,0.09153,0.01724,0.01801,0.01244,1.01243,10.1548,1.01473,0.093035,3.49658e-05,3.49658e-05
3,519.977,0.67754,3.65295,1.04887,0.00215,0.08621,0.00453,0.00351,0.97701,12.4902,1.0488,0.0890548,5.47853e-05,5.47853e-05
4,674.544,0.62844,3.23375,0.9936,0.21532,0.06897,0.02531,0.01886,0.86882,17.0332,1.06763,0.0850743,7.43424e-05,7.43424e-05
5,844.642,0.60593,2.7648,0.98525,0.01284,0.25862,0.04697,0.03437,0.84937,21.4851,1.07577,0.0810935,9.35226e-05,9.35226e-05
6,1005.22,0.65802,2.59875,1.00512,0.04327,0.13793,0.0229,0.01661,1.03481,13.4387,1.14105,0.0771122,0.000112214,0.000112214
7,1158.18,0.67882,2.43794,1.03195,0.15716,0.14779,0.09277,0.07662,0.77916,9.26258,1.01365,0.0731303,0.000130307,0.000130307
8,1321.8,0.67071,2.19387,1.02598,0.04468,0.24138,0.10259,0.07804,0.83198,7.7067,1.01446,0.0691477,0.000147698,0.000147698
9,1492.36,0.65076,2.03439,0.97133,0.08532,0.34483,0.19566,0.16452,0.64989,6.72009,0.94381,0.0651643,0.000164285,0.000164285
10,1651.59,0.60906,1.87372,0.99765,0.24742,0.54123,0.40257,0.36335,0.56312,4.9912,0.87971,0.06118,0.000179974,0.000179974
11,1820.14,0.67326,1.75649,1.00038,0.18114,0.46552,0.36455,0.3246,0.65061,4.79171,0.92375,0.0571947,0.000194675,0.000194675
12,1990.65,0.65064,1.65283,1.00226,0.229,0.48276,0.41601,0.38127,0.52228,4.39432,0.87797,0.0532083,0.000208305,0.000208305
13,2165.32,0.7021,1.72002,1.0185,0.22875,0.48276,0.43317,0.38771,0.56536,3.10875,0.89622,0.0492208,0.000220789,0.000220789
14,2325.78,0.6688,1.59421,0.99911,0.32768,0.58621,0.52609,0.47863,0.50528,2.3459,0.87686,0.0452321,0.000232059,0.000232059
15,2491.16,0.59848,1.39278,0.95691,0.39193,0.68966,0.61044,0.57527,0.45502,2.11253,0.85708,0.0412421,0.000242055,0.000242055
16,2655.93,0.56235,1.27082,0.94993,0.39713,0.67241,0.59757,0.55497,0.48211,1.86949,0.86656,0.0372507,0.000250725,0.000250725
17,2818.47,0.58518,1.25239,0.95344,0.47085,0.62069,0.60043,0.5421,0.53035,1.63921,0.882,0.033258,0.000258028,0.000258028
18,2977.12,0.62798,1.2739,0.992,0.40635,0.51724,0.4975,0.45719,0.46418,1.53803,0.86472,0.0292639,0.000263931,0.000263931
19,3130.99,0.60676,1.15613,0.96988,0.5819,0.68966,0.67763,0.62531,0.48654,1.30587,0.87855,0.0252684,0.00026841,0.00026841
20,3294.46,0.64344,1.23363,0.98141,0.72521,0.81897,0.80207,0.74674,0.45988,1.03027,0.85734,0.0212715,0.000271453,0.000271453
21,3463.92,0.60067,1.16139,0.96795,0.77299,0.83621,0.81922,0.77291,0.40943,0.91962,0.83191,0.0172731,0.000273055,0.000273055
22,3636.82,0.60064,1.09363,0.94846,0.75287,0.80172,0.80207,0.7596,0.41187,0.95022,0.83594,0.0132732,0.000273224,0.000273224
23,3784.19,0.56081,1.05018,0.94607,0.68319,0.77586,0.77198,0.72052,0.45104,1.16857,0.84775,0.00927198,0.000271978,0.000271978
24,3937.75,0.55778,1.01665,0.946,0.59195,0.73276,0.73345,0.6704,0.47939,1.15673,0.86066,0.00526934,0.000269344,0.000269344
25,4091.46,0.60381,0.99195,0.96337,0.67816,0.78448,0.76776,0.72615,0.44053,0.97041,0.84994,0.00126536,0.00026536,0.00026536
26,4245.11,0.58584,1.09393,0.98659,0.76724,0.83621,0.8278,0.77075,0.45484,0.9147,0.85491,0.0002525,0.0002525,0.0002525
27,4398.88,0.55629,0.98811,0.94222,0.79454,0.85345,0.84496,0.7982,0.41985,0.85492,0.83678,0.000236959,0.000236959,0.000236959
28,4563.08,0.60371,1.09237,0.96775,0.78346,0.87069,0.85353,0.80506,0.42256,0.83054,0.83405,0.00022148,0.00022148,0.00022148
29,4722.17,0.58381,0.90617,0.97604,0.9023,0.93966,0.92216,0.8754,0.39162,0.6446,0.82646,0.000206123,0.000206123,0.000206123
30,4894.3,0.61228,1.03948,0.96945,0.91379,0.9569,0.95647,0.90199,0.3992,0.543,0.83105,0.000190949,0.000190949,0.000190949
31,5046.59,0.54812,0.98638,0.97439,0.92241,0.9569,0.95647,0.90885,0.37828,0.58429,0.82272,0.000176018,0.000176018,0.000176018
32,5208.83,0.5603,1.02498,0.99107,0.83621,0.87931,0.85776,0.80737,0.39551,0.63493,0.82088,0.000161389,0.000161389,0.000161389
33,5360.81,0.53448,0.8617,0.93932,0.82759,0.83621,0.83638,0.79048,0.39896,0.61305,0.82018,0.00014712,0.00014712,0.00014712
34,5508.37,0.51645,0.83917,0.92864,0.84483,0.85345,0.85353,0.81107,0.38384,0.56656,0.81816,0.000133266,0.000133266,0.000133266
35,5655.24,0.53277,0.88234,0.93561,0.91092,0.92241,0.92216,0.88484,0.37384,0.52543,0.81708,0.000119883,0.000119883,0.000119883
36,5808.24,0.52544,0.8768,0.96119,0.89486,0.92241,0.92216,0.87969,0.37387,0.50608,0.8171,0.000107023,0.000107023,0.000107023
37,5954.86,0.57261,0.97054,0.9975,0.93103,0.9569,0.95647,0.91057,0.38059,0.51098,0.81912,9.47376e-05,9.47376e-05,9.47376e-05
38,6118.5,0.54033,0.82014,0.94297,0.90567,0.93966,0.93931,0.89341,0.38055,0.50339,0.81982,8.30746e-05,8.30746e-05,8.30746e-05
39,6265.39,0.50543,0.84363,0.9394,0.91379,0.93966,0.93931,0.88998,0.36992,0.48868,0.81763,7.20803e-05,7.20803e-05,7.20803e-05
40,6421.09,0.51062,0.79594,0.93616,0.89805,0.92241,0.92216,0.88655,0.36187,0.47336,0.81701,6.1798e-05,6.1798e-05,6.1798e-05
41,6579.93,0.49077,0.75946,0.91506,0.89871,0.92241,0.92216,0.88998,0.35151,0.44377,0.81363,5.22683e-05,5.22683e-05,5.22683e-05
42,6732.83,0.531,0.78569,0.9637,0.94081,0.9569,0.95647,0.92429,0.34431,0.42256,0.81062,4.35288e-05,4.35288e-05,4.35288e-05
43,6899.59,0.47392,0.73763,0.91368,0.93966,0.9569,0.95647,0.92772,0.33993,0.41582,0.8083,3.56141e-05,3.56141e-05,3.56141e-05
44,7055.26,0.47503,0.76484,0.94206,0.93966,0.9569,0.95647,0.92601,0.33871,0.41459,0.80745,2.85553e-05,2.85553e-05,2.85553e-05
45,7207.31,0.47231,0.75557,0.91221,0.94008,0.9569,0.95647,0.92258,0.33682,0.40929,0.80694,2.23803e-05,2.23803e-05,2.23803e-05
